#lambda_l=1.044533137529e+00, lambda_r=1.044533137529e+00
5.428959008436e-23 6.776867379418e-23
5.116297146944e-23 6.557325071757e-23
5.035377301989e-23 5.986135574935e-23
4.805222976328e-23 5.728829451487e-23
4.739769360093e-23 5.664599466814e-23
4.633428228443e-23 5.432249546020e-23
4.523452199007e-23 4.832183935794e-23
4.443827418484e-23 4.810293189459e-23
4.053667948980e-23 4.406355609035e-23
3.861931775014e-23 4.243838116639e-23
3.648628495151e-23 4.187751419003e-23
3.495220580146e-23 3.920302063004e-23
3.301037111832e-23 3.620704425957e-23
3.090568560064e-23 3.438305546379e-23
3.009238201148e-23 3.427442204367e-23
2.981534637090e-23 3.202534041684e-23
2.905817930503e-23 3.137373254866e-23
2.706263989329e-23 3.091426692603e-23
2.667247549036e-23 3.054289813275e-23
2.630429838535e-23 2.852845980707e-23
2.550778721676e-23 2.756390197028e-23
2.514280307781e-23 2.740729600894e-23
2.426737577510e-23 2.682549546725e-23
2.266256874661e-23 2.565968477650e-23
2.174321581123e-23 2.441894090409e-23
2.164954400791e-23 2.341025809370e-23
2.090119764317e-23 2.226626150594e-23
2.028207466348e-23 2.200900360699e-23
1.995264220320e-23 2.076190967415e-23
1.873338038601e-23 1.965439744900e-23
1.758681362551e-23 1.912015164725e-23
1.663640650729e-23 1.789437160958e-23
1.592698630504e-23 1.736820217973e-23
1.566779056121e-23 1.664714093435e-23
1.540576305156e-23 1.558227521304e-23
1.515591107055e-23 1.544042551123e-23
1.478676360972e-23 1.494830268633e-23
1.473784310992e-23 1.481453529029e-23
1.401161116981e-23 1.397499426143e-23
1.364181889385e-23 1.370148529814e-23
1.282847468488e-23 1.322831019805e-23
1.240318942184e-23 1.284088656154e-23
1.155559366851e-23 1.244904056836e-23
1.130491309607e-23 1.185472581242e-23
1.080191096643e-23 1.143275845034e-23
1.043358793943e-23 1.093639338908e-23
1.023286363955e-23 1.063146117959e-23
9.681026808271e-24 1.032110080056e-23
9.612340403854e-24 9.623731712265e-24
9.238370626206e-24 9.476550695565e-24
8.830266181982e-24 9.279671811012e-24
